,title,paragraph
0,अनुज नय्यर,"कैप्टन अनुज नैय्यर (२८ अगस्त, १९७५ - ७ जुलाई, १९९९) १७ जाट के भारतीय सेना के अधिकारी थे, जिन्हें कारगिल युद्ध में अभियानों के दौरान युद्ध में अनुकरणीय वीरता के लिए मरणोपरांत 1999 में भारत के दूसरे सर्वोच्च वीरता पुरस्कार महावीर चक्र से सम्मानित किया गया था।[1]"
1,अरुण श्रीधर वैद्य,जनरल ए एस वैद्य भारतीय सेना के 13 वे थलसेनाध्यक्ष थे। वर्ष 1986 में पुणे में हरजिंदर और सुखदेव ने जनरल वैद्य की हत्या कर दी थी। वर्ष 1992 में दोनों हत्यारों को फांसी की सजा दी गई।[1]
2,अल्बर्ट एकका,"लांस नायक अलबर्ट एक्का (27 दिसम्बर 1942 - 3 दिसम्बर 1971) एक भारतीय सैनिक थे जो भारत-पाकिस्तान युद्ध 1971 में हिली की लड़ाई में वीरगति को प्राप्त हो गए थे। इन्हें मरणोपरांत परमवीर चक्र से सम्मानित किया गया था।अलबर्ट एक्का का जन्म 27 दिसम्बर, 1942 को झारखंड के गुमला जिला के जारी ब्लाक के जारी गांव में हुआ था।[1] उनके पिता का नाम जूलियस एक्का, माँ का नाम मरियम एक्का और पत्नी का नाम बलमदीन एक्का था।[2] उन्होंने प्रारंभिक शिक्षा सी सी स्कूल पटराटोली से की थी और माध्यमिक परीक्षा भिखमपुर मिडल स्कूल से पास की थी। इनका जन्म स्थल जारी गांव चैनपुर तहसील के समीप में पड़ने वाला एक आदिवासी क्षेत्र है जो झारखण्ड राज्य का हिस्सा है। एल्बर्ट की दिली इच्छा भारतीय सेना में जाने की थी, जो दिसंबर 1962 को पूरी हुई।उन्होंने सेना में बिहार रेजिमेंट से अपना कार्य शुरू किया। बाद में जब 14 गार्ड्स का गठन हुआ, तब एल्बर्ट अपने कुछ साथियों के साथ वहाँ स्थानांतरित कर किए गए। एल्बर्ट एक अच्छे योद्धा तो थे ही, यह हॉकी के भी अच्छे खिलाड़ी थे। भारत-पाकिस्तान युद्ध 1971 में अलबर्ट एक्का वीरता, शौर्य और सैनिक हुनर का प्रदर्शन करते हुए अपने इकाई के सैनिकों की रक्षा की थी। इस अभियान के समय वे काफी घायल हो गये और ३ दिसम्बर १९७१ में इस दुनिया से विदा हो गए। भारत सरकार ने इनके बलिदान को देखते हुए मरणोपरांत सैनिकों को दिये जाने वाले उच्चतम सम्मान परमवीर चक्र से सम्मानित किया था।"
3,उम्मेद सिंह मेहरा,"कैप्टन उम्मेद सिंह महरा, एसि (21 जनवरी 1942 – 06 जुलाई 1971) भारतीय सेना के एक अधिकारी थे। उनकों मरणोपरांत अशोक चक्र के सम्मानित किया गया था।कैप्टन उम्मेद का जन्म उत्तराखंड के अल्मोड़ा जिले में  एक कुमाऊँनी राजपूत परिवार में हुआ था। 1967 में उन्होंने भारतीय सैन्य अकादमी से स्नातक की उपाधि प्राप्त की और 11 जून को राजपूताना राइफल्स की 19वीं बटालियन में सेकंड लेफ्टिनेंट नियुक्त हुए। [1] [2] उन्हें ११ जून १९६९ को लेफ्टिनेंट पदोन्नत किया गया था। [3]जुलाई 1971 में, एक कार्यवाहक कप्तान के रूप में, उन्होंने नागालैंड में एक विद्रोही समूह के मुख्यालय के खिलाफ एक दल का नेतृत्व किया।  हालांकि एक गोलाबारी में घायल होने के बावजूद, उन्होंने उस ऑपरेशन का नेतृत्व करना जारी रखा जिसमें हथियारों, गोला-बारूद और महत्वपूर्ण दस्तावेजों का एक बड़ा जखीरा था।  वहाँ से लौटने के बाद उनके घावों से शहीद हो गई।  उन्हें भारत के सर्वोच्च शांतिकालीन सैन्य सम्मान अशोक चक्र से सम्मानित किया गया था।"
4,कतूलू रवि कुमार,रवि कतूलू भारत के एक खिलाड़ी हैं। इन्होंने ग्लासगो में हुए 2014 राष्ट्रमण्डल खेलों में भारोत्तोलन स्पर्धा में 77 किलो भारवर्ग में 317 किलो भार उठाकर रजत पदक प्राप्त किया।[1][2] इससे पहले 2010 राष्ट्रमण्डल खेलों में वे स्वर्ण पदक जीत चुके हैं।[1]
5,करतार सिंह (सैनिक),"सूबेदार करतार सिंह, एससी, एमसी एक सेवानिवृत्त भारतीय सेना के जूनियर कमीशंड ऑफिसर (जेसीओ) हैं, जिन्हें उनकी वीरता के लिए द्वितीय विश्व युद्ध के दौरान मिलिट्री क्रॉस से सम्मानित किया गया था और भारत की स्वतंत्रता के बाद १९५२ में वीरता के लिए शौर्य चक्र से सम्मानित किया गया था।करतार सिंह ब्रिटिश भारतीय सेना की तीसरी पंजाब रेजिमेंट में शामिल हुए। द्वितीय विश्व युद्ध के दौरान, वह द्वितीय विश्व युद्ध में लड़े और उनकी असाधारण बहादुरी के लिए ब्रिटिश सरकार द्वारा उन्हें मिलिट्री क्रॉस से सम्मानित किया गया। स्वतंत्रता के बाद के अभियान में उनकी उत्कृष्ट वीरता के लिए उन्हें शौर्य चक्र पदक से सम्मानित किया गया था। [1]"
6,किशन सिंह राठौड़,"किशन सिंह राठौड़ को भारत-पाकिस्तान युद्ध 1 9 47 में प्रदर्शित बहादुरी के लिए महावीर चक्र से सम्मानित किया गया था। वह राजस्थान में चुरु जिले में घोडिसार (सरदारशहर) से थे , वह कर्नल के रूप में सेवानिवृत्त हुए उनके पिता मेजर थे। कर्नल किशन सिंह का गुजरात में जामनगर (नवनगर) के शाही परिवार में विवाह हुआ था। उनके बड़े भाई ,मेजर जनरल शिवबख्श सिंह ,सेना के कई सम्मान प्राप्तकर्ता थे। उनके पिता मेजर दीप सिंह गंगा रिसाला बटालियन के कमांडर थे, जिसे 'ऊंट सेना' के रूप में भी जाना जाता है।"
7,कुलदीप सिंह चांदपुरी,"ब्रिगेडियर कुलदीप सिंह चाँदपुरी परमवीर चक्र, विशिष्ट सेवा मेडल (जन्म 22 नवम्बर 1940 - 17 नवम्बर 2018) भारतीय सेना में एक सेवानिवृत्त अधिकारी थे। उन्होंने लोंगावाला के प्रसिद्ध युद्ध में भारतीय सेना का वीरता के साथ नेतृत्व किया जिसके लिए उन्हें महावीर चक्र से सम्मानित किया गया।[2]बाॅलिवुड की फिल्म 'बाॅर्डर' लोंगेवाला के युद्ध पर आधारित है। इसमें ब्रिगेडियर कुलदीप सिंह जी का किरदार सन्नी देओल ने निभाया था।कुलदीप सिंह का जन्म [3][4] [5]  अविभाजित भारत के पंजाब क्षेत्र में मांटगोमेरी में 22 नवंबर 1940 को पिता सरदार वतन सिंह के यहां हुआ था। उसके बाद उनका परिवार तो उनके पैतृक गांव चांदपुर रुरकी चला आया जो बलचौर में है। वे एनसीसी के सक्रिय सदस्य थे और जब उन्होने 1962 में होशियारपुर गवर्नमेंट कॉलेज से स्नातक की उपाधि प्राप्त की तब एनसीसी की परीक्षा भी उत्तीर्ण की थी। कुलदीप सिंह भारतीय सेना में सेवा देने वाले अपने परिवार के तीसरी पीढ़ी के सैन्य अधिकार हैं। उनके दोनों चाचा भारतीय वायुसेना में पाइलॉट ऑफिसर थे। कुलदीप सिंह अपने माता-पिता की अकेली सन्तान हैं।"
8,के पी कंडेथ,के पी कंडेथ को प्रशासकीय सेवा के क्षेत्र में भारत सरकार द्वारा सन १९७२ में पद्म भूषण से सम्मानित किया गया था। ये दिल्ली से हैं।
9,कैप्टन गुरबचन सिंह सलारिया,"कैप्टन गुरबचन सिंह सलारिया परमवीर चक्र (29 नवंबर 1935 - 5 दिसंबर 1961) एक भारतीय सैन्य अधिकारी और संयुक्त राष्ट्र शांति अभियान के सदस्य थे। वह परमवीर चक्र प्राप्त करने वाले एकमात्र संयुक्त राष्ट्र शांतिरक्षक हैं[2]। वह किंग जॉर्ज के रॉयल मिलिट्री कॉलेज और राष्ट्रीय रक्षा अकादमी के पूर्व छात्र थे।
इन्हें यह सम्मान सन 1962 में मरणोपरांत मिला।[3]दिसंबर 1961 में कांगो में संयुक्त राष्ट्र के ऑपरेशन के तहत कांगो गणराज्य में तैनात भारतीय सैनिकों में सलारिया भी शामिल थे। 5 दिसंबर को सलारिया की बटालियन को दो बख्तरबंद कारों पर सवार पृथकतावादी राज्य कातांगा के 150 सशस्त्र पृथकतावादियों द्वारा एलिज़ाबेविले हवाई अड्डे के मार्ग के अवरुद्धीकरण को हटाने का कार्य सौंपा गया। उनकी रॉकेट लांचर टीम ने कातांगा की बख्तरबंद कारों पर हमला किया और नष्ट कर दिया। इस अप्रत्याशित कदम ने सशस्त्र पृथकतावादियों को भ्रमित कर दिया, और सलारिया ने महसूस किया कि इससे पहले कि वे पुनर्गठित हो जाएं, उन पर हमला करना सबसे अच्छा होगा। हालांकि उनकी सेना की स्थिति अच्छी नहीं थी फिर भी उन्होंने पृथकतावादियों पर हमला करवा दिया और 40 लोगों को कुकरियों से हमले में मार गिराया। हमले के दौरान सलारिया को गले में दो बार गोली मार दी और वह वीर गति को प्राप्त हो गए। बाकी बचे पृथकतावादी अपने घायल और मरे हुए साथियों को छोड़ कर भाग खड़े हुए और इस प्रकार मार्ग अवरुद्धीकरण को साफ़ कर दिया गया। अपने कर्तव्य और साहस के लिए और युद्ध के दौरान अपनी सुरक्षा की उपेक्षा करते हुए कर्तव्य करने के कारण सलारिया को भारत सरकार द्वारा वर्ष 1962 में मरणोपरांत परम वीर चक्र से सम्मानित किया गया।गुरबचन सिंह सलाारिया का जन्म 29 नवंबर 1935 को शकगरगढ़, पंजाब, ब्रिटिश भारत (अब पाकिस्तान में) के पास एक गांव जनवाल में हुआ था। वह मुंशी राम और धन देवी के पांच बच्चों में से दूसरे थे। उनका जन्म हिंदू राजपूत परिवार में हुआ।[4] उनके पिता को पहले ब्रिटिश भारतीय सेना में हॉसंस हॉर्स के डोगरा स्क्वाड्रन में शामिल किया गया था। अपने पिता और उनकी रेजिमेंट की कहानियों को सुनकर सेलेरिया को बहुत कम उम्र में सेना में शामिल होने की प्रेरणा मिली।"
